pr_id,issue_id,pr_title,issue_title,similarity,label
7091,7031,bump github/codeql-action from 4.30.8 to 4.31.5,"ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', po",0.16434540389972144,1
7091,6833,bump github/codeql-action from 4.30.8 to 4.31.5,lack of respect for questions and support requests,0.1456953642384106,1
7091,7045,bump github/codeql-action from 4.30.8 to 4.31.5,about connection release when maintaining sessions,0.1291390728476821,1
7091,6794,bump github/codeql-action from 4.30.8 to 4.31.5,requests changes the url on get,0.11258278145695365,0
7091,6730,bump github/codeql-action from 4.30.8 to 4.31.5,certificate loading regression with httpadapters in 2.32.3,0.10264900662251655,0
7091,6815,bump github/codeql-action from 4.30.8 to 4.31.5,handle permissionerror when importing adapter.py,0.09933774834437085,0
7091,6542,bump github/codeql-action from 4.30.8 to 4.31.5,cookies with are not sent for via unencrypted,0.09933774834437085,0
7091,7047,bump github/codeql-action from 4.30.8 to 4.31.5,add response status code to httperror exception,0.09602649006622517,0
7091,7048,bump github/codeql-action from 4.30.8 to 4.31.5,"cloudflare blocks my api bot, but not when i use",0.09271523178807947,0
7091,2766,bump github/codeql-action from 4.30.8 to 4.31.5,document threading contract for session class,0.08940397350993377,0
7098,7079,kimi-v1,feature request: add built-in logger hooks for all http requests and responses,0.06741573033707865,0
7098,6809,kimi-v1,retry hangs indefinitely for 503 status code,0.0449438202247191,0
7098,7045,kimi-v1,about connection release when maintaining sessions,0.03731343283582089,0
7098,7039,kimi-v1,type hint needed,0.033707865168539325,0
7098,7033,kimi-v1,requests with self signed certs broken,0.030927835051546393,0
7098,6794,kimi-v1,requests changes the url on get,0.030927835051546393,0
7098,7047,kimi-v1,add response status code to httperror exception,0.02857142857142857,0
7098,2766,kimi-v1,document threading contract for session class,0.027522935779816515,0
7098,7029,kimi-v1,"one request fails, but others don't; it also succeeds in terminal",0.026785714285714284,0
7098,6835,kimi-v1,why requests.session doesn't send stored cookie?,0.02247191011235955,0
7097,6835,kimi-v1,why requests.session doesn't send stored cookie?,0.04878048780487805,0
7097,7024,kimi-v1,about request.session,0.018867924528301886,0
7097,6804,kimi-v1,xml gets shortened when submitting a post request,0.015873015873015872,0
7097,7079,kimi-v1,feature request: add built-in logger hooks for all http requests and responses,0.014705882352941176,0
7097,7033,kimi-v1,requests with self signed certs broken,0.010309278350515464,0
7097,2766,kimi-v1,document threading contract for session class,0.009174311926605505,0
7097,7045,kimi-v1,about connection release when maintaining sessions,0.007462686567164179,0
7097,7031,kimi-v1,"ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', po",0.005571030640668524,0
7097,6833,kimi-v1,lack of respect for questions and support requests,0.0,0
7097,6823,kimi-v1,chunked put using a generator function...,0.0,0
7094,6751,catch assertionerror on malformed url with proxy as invalidurl,requests 2.31.0 - unhashable type 'list' for 'cert' parameter,0.17142857142857143,1
7094,7018,catch assertionerror on malformed url with proxy as invalidurl,remove unused argument from urllib3 request context,0.10638297872340426,1
7094,6775,catch assertionerror on malformed url with proxy as invalidurl,with setuptools 72.0.0 requests can no longer be installed from git,0.09836065573770492,0
7094,6835,catch assertionerror on malformed url with proxy as invalidurl,why requests.session doesn't send stored cookie?,0.0975609756097561,0
7094,6730,catch assertionerror on malformed url with proxy as invalidurl,certificate loading regression with httpadapters in 2.32.3,0.09375,0
7094,7028,catch assertionerror on malformed url with proxy as invalidurl,tor request,0.08571428571428572,0
7094,7006,catch assertionerror on malformed url with proxy as invalidurl,modulenotfounderror,0.08571428571428572,0
7094,6699,catch assertionerror on malformed url with proxy as invalidurl,attributeerror: 'nonetype' object has no attribute 'setdefault' on environment p,0.08108108108108109,0
7094,7047,catch assertionerror on malformed url with proxy as invalidurl,add response status code to httperror exception,0.07857142857142857,0
7094,6542,catch assertionerror on malformed url with proxy as invalidurl,cookies with are not sent for via unencrypted,0.07317073170731707,0
7075,6794,fix ssl verification precedence: respect session.verify when method verify param,requests changes the url on get,0.17964071856287425,1
7075,6833,fix ssl verification precedence: respect session.verify when method verify param,lack of respect for questions and support requests,0.17365269461077845,1
7075,7045,fix ssl verification precedence: respect session.verify when method verify param,about connection release when maintaining sessions,0.17365269461077845,1
7075,7048,fix ssl verification precedence: respect session.verify when method verify param,"cloudflare blocks my api bot, but not when i use",0.16766467065868262,0
7075,7031,fix ssl verification precedence: respect session.verify when method verify param,"ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', po",0.1671309192200557,0
7075,6730,fix ssl verification precedence: respect session.verify when method verify param,certificate loading regression with httpadapters in 2.32.3,0.1497005988023952,0
7075,2766,fix ssl verification precedence: respect session.verify when method verify param,document threading contract for session class,0.1317365269461078,0
7075,7047,fix ssl verification precedence: respect session.verify when method verify param,add response status code to httperror exception,0.1317365269461078,0
7075,6823,fix ssl verification precedence: respect session.verify when method verify param,chunked put using a generator function...,0.11377245508982035,0
7075,6815,fix ssl verification precedence: respect session.verify when method verify param,handle permissionerror when importing adapter.py,0.11377245508982035,0
7070,7045,fix: respect user-defined proxy settings during redirects,about connection release when maintaining sessions,0.21764705882352942,1
7070,6794,fix: respect user-defined proxy settings during redirects,requests changes the url on get,0.16470588235294117,1
7070,6833,fix: respect user-defined proxy settings during redirects,lack of respect for questions and support requests,0.1588235294117647,1
7070,7031,fix: respect user-defined proxy settings during redirects,"ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', po",0.15877437325905291,0
7070,7047,fix: respect user-defined proxy settings during redirects,add response status code to httperror exception,0.14705882352941177,0
7070,6730,fix: respect user-defined proxy settings during redirects,certificate loading regression with httpadapters in 2.32.3,0.12941176470588237,0
7070,6542,fix: respect user-defined proxy settings during redirects,cookies with are not sent for via unencrypted,0.12941176470588237,0
7070,6815,fix: respect user-defined proxy settings during redirects,handle permissionerror when importing adapter.py,0.12352941176470589,0
7070,7048,fix: respect user-defined proxy settings during redirects,"cloudflare blocks my api bot, but not when i use",0.12352941176470589,0
7070,6809,fix: respect user-defined proxy settings during redirects,retry hangs indefinitely for 503 status code,0.12352941176470589,0
7087,7031,bump github/codeql-action from 4.30.8 to 4.31.3,"ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', po",0.17827298050139276,1
7087,6833,bump github/codeql-action from 4.30.8 to 4.31.3,lack of respect for questions and support requests,0.13662790697674418,1
7087,7045,bump github/codeql-action from 4.30.8 to 4.31.3,about connection release when maintaining sessions,0.11627906976744186,1
7087,6794,bump github/codeql-action from 4.30.8 to 4.31.3,requests changes the url on get,0.10174418604651163,0
